Track_Artist,Track,Artist,Release Date,Release Year,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Stimmung,Tempo,Key,Mode,Energy,Danceability,Beats per Bar,Track-URI,Album,Track-Popularity,Track-Bild,Artist-URI,Follower,Genre,Popularity,Artist-Bild
iSpy (feat. Lil Yachty)KYLE,iSpy (feat. Lil Yachty),KYLE,12/2/2016,2016,USAT21700378,1325,40.8,960430911,121478,17895084,64,686017624,5762838,3216574,49211923,318342595,259650688,61,5,34,9,1475,,292163419,497013,,4583248,1,upbeat,75,G,major,high energy,very danceable,4,2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty),65,https://i.scdn.co/image/ab67616d0000b27332e373f2988bc6596a542d1c,0p3tzEAt0XWrBqbrwBoN1I,278864,,62,https://i.scdn.co/image/ab6761610000e5ebdcfe6f0ddddc03dd5bd58bd8
I AMIVE,I AM,IVE,4/10/2023,2023,QM4TX2337764,1326,40.8,269067890,20356,8290715,71,256133933,2369761,103447,53293582,473159481,576651305,34,405,30,2,4892,25,498947,2286,,523507,0,,,,,,,,,,,,,,,,
Midnight SkyMiley Cyrus,Midnight Sky,Miley Cyrus,8/14/2020,2020,USRC12002653,1323,40.8,629372240,86326,19484618,66,301362454,2670514,59565,33434126,286126363,37277534,199,431736,130,76,497102,66,46663846,18489,,4783852,0,somber,110,E,minor,high energy,very danceable,4,4i2qxFEVVUi8yOYoxB8TCX,Plastic Hearts,68,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142,5YGY8feqx7naU7z4HrwZM6,25409291,,83,https://i.scdn.co/image/ab6761610000e5ebe73dc6aa2598689da2e9476c
"Earth, Wind & FireBOYNEXTDOOR","Earth, Wind & Fire",BOYNEXTDOOR,4/15/2024,2024,USA2P2409361,1328,40.8,15434400,1054,10955415,,51593380,370143,,983067,4691841,948223,10,232,,4,21804,26,9197,71,,39073,0,,,,,,,,,,,,,,,,
AndreaBad Bunny,Andrea,Bad Bunny,5/6/2022,2022,QM6MZ2214893,1335,40.7,432885913,51912,12241438,71,321888868,1818193,575,152132878,1232405599,20330597,14,2673,42,2,20087,6,17790574,5179,,901897,1,,,,,,,,,,,,,,,,
Ric Flair Drip (with Metro Boomin)Offset,Ric Flair Drip (with Metro Boomin),Offset,10/30/2017,2017,QZ45A1700064,1338,40.7,1506766477,25764,63705857,80,392508024,2837908,29826,16735833,127112835,101100834,93,1543,81,38,646064,29,289409198,149446,,3628434,1,,,,,,,,,,,,,,,,
Dï¿½ï¿½Teya Dora,Dï¿½ï¿½,Teya Dora,3/22/2023,2023,FRX202362720,1332,40.7,125289731,25929,2777533,65,150869846,2405158,311288,69237529,855679980,2968009,20,1302,,5,27,,,,,6583285,0,,,,,,,,,,,,,,,,
Going Bad (feat. Drake)Meek Mill,Going Bad (feat. Drake),Meek Mill,11/30/2018,2018,USAT21812710,133,40.7,1189579197,190095,47916138,73,339988703,2979918,270611,150299860,1545417106,48719736,,110814,495,37,45505,36,337354602,100373,,,1,,86,E,minor,average energy,very danceable,4,2IRZnDFmlqMuOrYOLnZZyc,Championships,72,https://i.scdn.co/image/ab67616d0000b273cd63c5962050729d260077d6,20sxb77xiYeusSH8cVdatc,8063580,rap,74,https://i.scdn.co/image/ab6761610000e5ebc14756c27212bdea80f6cfac
Tenho Que Me DecidirMC PH,Tenho Que Me Decidir,MC PH,11/29/2023,2023,BXG6R2301027,1334,40.7,111408880,17345,11402769,,92538511,602552,,,,448644270,13,10,,20,593174,13,463,,,234008,1,,,,,,,,,,,,,,,,
WunderAYLIVA,Wunder,AYLIVA,4/26/2024,2024,DEA622401272,1336,40.7,47364546,3863,15268731,77,11650472,16394,,,,31086179,20,7361,,15,9170707,32,,,,223239,1,,,,,,,,,,,,,,,,
SafaeraBad Bunny,Safaera,Bad Bunny,2/29/2020,2020,QM4TX2030965,1331,40.7,868744690,116275,31273843,70,491413241,3414196,1386728,112367323,989597627,129404102,125,20107,11,67,496043,25,73353572,44045,,2268804,1,upbeat,96,D,major,high energy,very danceable,4,2DEZmgHKAvm41k4J3R2E9Y,YHLQMDLG,72,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,4q3ewBCX7sLwd24euuV69X,89352426,reggaeton,100,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
